Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS06785	WA5_RS06785	1427372	1427809	hypothetical protein	WA5_RS06790 // WA5_RS06785	WA5_RS06790 // WA5_RS06785
WA5_RS04815	WA5_RS04815	1022695	1024665	ABC transporter ATP-binding protein	WA5_RS04820 // WA5_RS04815	WA5_RS04820 // WA5_RS04815
WA5_RS08975	WA5_RS08975	1912329	1913732	hypothetical protein	WA5_RS08975 // WA5_RS08970	WA5_RS08975 // WA5_RS08970
WA5_RS11770	WA5_RS11770	2504828	2507893	translation initiation factor IF-2 N-terminal domain-containing protein	WA5_RS11770	WA5_RS11770
WA5_RS14695	WA5_RS14695	3137923	3138474	DUF2020 domain-containing protein	WA5_RS14695	WA5_RS14695
WA5_RS03440	WA5_RS03440	708841	709710	thioredoxin	WA5_RS03440	WA5_RS03440
WA5_RS13540	WA5_RS13540	2876277	2876777	DUF2617 family protein	WA5_RS13545 // WA5_RS13540 // WA5_RS13535 // WA5_RS13530 // WA5_RS13525	WA5_RS13545 // WA5_RS13540 // WA5_RS13535 // WA5_RS13530 // WA5_RS13525
WA5_RS06285	WA5_RS06285	1329014	1329886	ArgP/LysG family DNA-binding transcriptional regulator	WA5_RS06285	WA5_RS06285
WA5_RS11775	WA5_RS11775	2508106	2508843	hypothetical protein	WA5_RS11775	WA5_RS11775
uvrC	WA5_RS07945	1687099	1689189	excinuclease ABC subunit UvrC	WA5_RS07950 // uvrC // rapZ // yvcK // whiA	WA5_RS07950 // uvrC // rapZ // yvcK // whiA
WA5_RS04820	WA5_RS04820	1024662	1026395	ABC transporter ATP-binding protein	WA5_RS04820 // WA5_RS04815	WA5_RS04820 // WA5_RS04815
WA5_RS08375	WA5_RS08375	1776192	1776264	tRNA-Gly	WA5_RS08375 // WA5_RS08370 // WA5_RS08365 // WA5_RS08360 // WA5_RS08355 // WA5_RS08350	WA5_RS08375 // WA5_RS08370 // WA5_RS08365 // WA5_RS08360 // WA5_RS08355 // WA5_RS08350
WA5_RS13545	WA5_RS13545	2876774	2877385	DUF4178 domain-containing protein	WA5_RS13545 // WA5_RS13540 // WA5_RS13535 // WA5_RS13530 // WA5_RS13525	WA5_RS13545 // WA5_RS13540 // WA5_RS13535 // WA5_RS13530 // WA5_RS13525
WA5_RS00430	WA5_RS00430	85095	85403	hypothetical protein	WA5_RS00430	WA5_RS00430
WA5_RS01075	WA5_RS01075	222207	223694	sodium:alanine symporter family protein	WA5_RS01075	WA5_RS01075
WA5_RS16330	WA5_RS16330	3138478	3138630	hypothetical protein	WA5_RS14705 // WA5_RS16330	WA5_RS14705 // WA5_RS16330
WA5_RS03445	WA5_RS03445	709792	710280	CAP domain-containing protein	WA5_RS03445	WA5_RS03445
WA5_RS01705	WA5_RS01705	341356	342378	hypothetical protein	WA5_RS01710 // WA5_RS01705	WA5_RS01710 // WA5_RS01705
WA5_RS09690	WA5_RS09690	2053605	2054225	hypothetical protein	WA5_RS09690 // miaA // WA5_RS09680	WA5_RS09690 // miaA // WA5_RS09680
WA5_RS06290	WA5_RS06290	1329887	1330966	glutathione S-transferase family protein	WA5_RS06290	WA5_RS06290
WA5_RS04825	WA5_RS04825	1026501	1028999	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	WA5_RS04830 // WA5_RS04825	WA5_RS04830 // WA5_RS04825
WA5_RS02285	WA5_RS02285	472948	473814	hypothetical protein	WA5_RS02285	WA5_RS02285
WA5_RS11780	WA5_RS11780	2508922	2509506	pirin family protein	WA5_RS11780	WA5_RS11780
WA5_RS10285	WA5_RS10285	2185347	2186207	LysR family transcriptional regulator	WA5_RS10285	WA5_RS10285
WA5_RS16310	WA5_RS16310	2877452	2878169	PTS transporter subunit EIIB	WA5_RS16310	WA5_RS16310
WA5_RS04830	WA5_RS04830	1029002	1030282	esterase family protein	WA5_RS04830 // WA5_RS04825	WA5_RS04830 // WA5_RS04825
WA5_RS11785	WA5_RS11785	2509520	2510830	ISL3-like element IS31831 family transposase	WA5_RS11785	WA5_RS11785
WA5_RS14705	WA5_RS14705	3138631	3139455	sortase	WA5_RS14705 // WA5_RS16330	WA5_RS14705 // WA5_RS16330
WA5_RS03450	WA5_RS03450	710516	711604	GTP-binding protein	WA5_RS03450	WA5_RS03450
WA5_RS04840	WA5_RS04840	1031971	1032183	antitoxin	WA5_RS04845 // WA5_RS04840	WA5_RS04845 // WA5_RS04840
fecE	WA5_RS16325	3030368	3030576	Fe(3+) dicitrate ABC transporter ATP-binding protein FecE	fecE	WA5_RS16325
WA5_RS13560	WA5_RS13560	2878475	2879710	FAD-dependent oxidoreductase	WA5_RS13560	WA5_RS13560
WA5_RS09270	WA5_RS09270	1973808	1974206	hypothetical protein	WA5_RS09270	WA5_RS09270
WA5_RS06295	WA5_RS06295	1331101	1331877	HNH endonuclease	WA5_RS06295	WA5_RS06295
WA5_RS07950	WA5_RS07950	1689197	1689778	PH domain-containing protein	WA5_RS07950 // uvrC // rapZ // yvcK // whiA	WA5_RS07950 // uvrC // rapZ // yvcK // whiA
WA5_RS04835	WA5_RS04835	1030365	1031870	amino acid permease	WA5_RS04835	WA5_RS04835
WA5_RS13565	WA5_RS13565	2879965	2880255	sulfurtransferase	WA5_RS13565	WA5_RS13565
WA5_RS00435	WA5_RS00435	85660	86220	hypothetical protein	WA5_RS00435	WA5_RS00435
WA5_RS11790	WA5_RS11790	2510962	2511426	pirin family protein	WA5_RS11795 // WA5_RS11790	WA5_RS11795 // WA5_RS11790
WA5_RS01080	WA5_RS01080	224354	225247	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	WA5_RS01080	WA5_RS01080
yidC	WA5_RS14710	3139687	3140955	membrane protein insertase YidC	yidC	WA5_RS14710
WA5_RS08490	WA5_RS08490	1799703	1800368	hypothetical protein	WA5_RS08490	WA5_RS08490
WA5_RS01710	WA5_RS01710	342417	343454	glycosyltransferase family 2 protein	WA5_RS01710 // WA5_RS01705	WA5_RS01710 // WA5_RS01705
WA5_RS09695	WA5_RS09695	2054402	2055763	DUF349 domain-containing protein	WA5_RS09700 // WA5_RS09695	WA5_RS09700 // WA5_RS09695
WA5_RS02290	WA5_RS02290	473811	474941	o-succinylbenzoate--CoA ligase	WA5_RS02295 // WA5_RS02290	WA5_RS02295 // WA5_RS02290
WA5_RS13570	WA5_RS13570	2880544	2880990	winged helix-turn-helix transcriptional regulator	WA5_RS13575 // WA5_RS13570	WA5_RS13575 // WA5_RS13570
WA5_RS06300	WA5_RS06300	1331952	1333010	DoxX family protein	WA5_RS06300	WA5_RS06300
WA5_RS04845	WA5_RS04845	1032195	1032782	hypothetical protein	WA5_RS04845 // WA5_RS04840	WA5_RS04845 // WA5_RS04840
WA5_RS11795	WA5_RS11795	2511427	2511879	carboxymuconolactone decarboxylase family protein	WA5_RS11795 // WA5_RS11790	WA5_RS11795 // WA5_RS11790
WA5_RS10290	WA5_RS10290	2186322	2187131	sulfite exporter TauE/SafE family protein	WA5_RS10290	WA5_RS10290
WA5_RS14870	WA5_RS14870	3167643	3168365	response regulator transcription factor	WA5_RS14870 // WA5_RS14865	WA5_RS14870 // WA5_RS14865
WA5_RS08380	WA5_RS08380	1776612	1776683	tRNA-Val	WA5_RS08380	WA5_RS08380
WA5_RS08805	WA5_RS08805	1865841	1866221	hypothetical protein	WA5_RS08805 // WA5_RS08800	WA5_RS08805 // WA5_RS08800
WA5_RS13575	WA5_RS13575	2880998	2884885	non-ribosomal peptide synthetase	WA5_RS13575 // WA5_RS13570	WA5_RS13575 // WA5_RS13570
ndk	WA5_RS11800	2511946	2512356	nucleoside-diphosphate kinase	ndk	WA5_RS11800
WA5_RS14715	WA5_RS14715	3140882	3141523	TetR/AcrR family transcriptional regulator	WA5_RS14715	WA5_RS14715
WA5_RS03460	WA5_RS03460	712737	714233	MmgE/PrpD family protein	WA5_RS03470 // prpB // WA5_RS03460	WA5_RS03470 // prpB // WA5_RS03460
adhP	WA5_RS14040	2995744	2996781	alcohol dehydrogenase AdhP	adhP	WA5_RS14040
ilvD	WA5_RS06305	1333438	1335279	dihydroxy-acid dehydratase	ilvD	WA5_RS06305
WA5_RS11805	WA5_RS11805	2512406	2512726	hypothetical protein	WA5_RS11805	WA5_RS11805
WA5_RS07955	WA5_RS07955	1689865	1690344	6,7-dimethyl-8-ribityllumazine synthase	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955
WA5_RS03570	WA5_RS03570	736412	737206	thioesterase family protein	WA5_RS03570	WA5_RS03570
WA5_RS00440	WA5_RS00440	86399	87244	NAD-dependent protein deacetylase	WA5_RS00440	WA5_RS00440
WA5_RS04850	WA5_RS04850	1032756	1033127	hypothetical protein	WA5_RS04850	WA5_RS04850
WA5_RS11810	WA5_RS11810	2512803	2513147	N-acetyltransferase	WA5_RS11810	WA5_RS11810
WA5_RS01085	WA5_RS01085	225239	226312	ThiF family adenylyltransferase	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085
WA5_RS14720	WA5_RS14720	3141706	3141969	GlsB/YeaQ/YmgE family stress response membrane protein	WA5_RS14720	WA5_RS14720
prpB	WA5_RS03465	714230	715147	methylisocitrate lyase	WA5_RS03470 // prpB // WA5_RS03460	WA5_RS03470 // prpB // WA5_RS03460
WA5_RS01715	WA5_RS01715	343636	345720	bifunctional metallophosphatase/5'-nucleotidase	WA5_RS01715	WA5_RS01715
WA5_RS14080	WA5_RS14080	3002450	3003235	phosphoadenylyl-sulfate reductase	WA5_RS14080 // WA5_RS14075 // WA5_RS14070 // WA5_RS14065 // WA5_RS14060	WA5_RS14080 // WA5_RS14075 // WA5_RS14070 // WA5_RS14065 // WA5_RS14060
WA5_RS02295	WA5_RS02295	474994	475401	DoxX family protein	WA5_RS02295 // WA5_RS02290	WA5_RS02295 // WA5_RS02290
WA5_RS13590	WA5_RS13590	2887941	2888078	PorA family porin	WA5_RS13590	WA5_RS13590
WA5_RS06310	WA5_RS06310	1335408	1336043	PH domain-containing protein	WA5_RS06310	WA5_RS06310
WA5_RS11815	WA5_RS11815	2513151	2513618	SRPBCC family protein	WA5_RS11815	WA5_RS11815
WA5_RS10295	WA5_RS10295	2187229	2187678	MepB family protein	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295
rnpB	WA5_RS15570	2370918	2371325	RNase P RNA component class A	rnpB	WA5_RS15570
WA5_RS16180	WA5_RS16180	2888162	2888335	PorH family porin	WA5_RS16180	WA5_RS16180
WA5_RS04855	WA5_RS04855	1033265	1033645	porin	WA5_RS04855	WA5_RS04855
WA5_RS11820	WA5_RS11820	2513689	2514114	DUF4233 domain-containing protein	WA5_RS11830 // WA5_RS11825 // WA5_RS11820	WA5_RS11830 // WA5_RS11825 // WA5_RS11820
WA5_RS14725	WA5_RS14725	3142451	3143356	universal stress protein	WA5_RS14725	WA5_RS14725
WA5_RS03470	WA5_RS03470	715140	716285	bifunctional 2-methylcitrate synthase/citrate synthase	WA5_RS03470 // prpB // WA5_RS03460	WA5_RS03470 // prpB // WA5_RS03460
arc	WA5_RS07475	1576947	1578530	proteasome ATPase	WA5_RS07480 // arc // WA5_RS07470	WA5_RS07480 // arc // WA5_RS07470
WA5_RS09275	WA5_RS09275	1974266	1974505	hypothetical protein	WA5_RS09275	WA5_RS09275
WA5_RS06315	WA5_RS06315	1336091	1337665	mechanosensitive ion channel	WA5_RS06315	WA5_RS06315
WA5_RS11825	WA5_RS11825	2514111	2515634	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	WA5_RS11830 // WA5_RS11825 // WA5_RS11820	WA5_RS11830 // WA5_RS11825 // WA5_RS11820
fbaA	WA5_RS13860	2954238	2955272	class II fructose-bisphosphate aldolase	fbaA	WA5_RS13860
WA5_RS07960	WA5_RS07960	1690356	1691624	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955
WA5_RS03540	WA5_RS03540	731311	731799	hypothetical protein	WA5_RS03565 // purE // WA5_RS03555 // WA5_RS03550 // WA5_RS03545 // WA5_RS03540 // WA5_RS03535	WA5_RS03565 // purE // WA5_RS03555 // WA5_RS03550 // WA5_RS03545 // WA5_RS03540 // WA5_RS03535
WA5_RS13600	WA5_RS13600	2890748	2890930	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS00445	WA5_RS00445	87558	88532	triacylglycerol lipase	WA5_RS00450 // WA5_RS00445	WA5_RS00450 // WA5_RS00445
WA5_RS04860	WA5_RS04860	1033977	1034741	lytic transglycosylase family protein	WA5_RS04860	WA5_RS04860
WA5_RS11830	WA5_RS11830	2515634	2518345	valine--tRNA ligase	WA5_RS11830 // WA5_RS11825 // WA5_RS11820	WA5_RS11830 // WA5_RS11825 // WA5_RS11820
WA5_RS03475	WA5_RS03475	716282	716659	hypothetical protein	WA5_RS03480 // WA5_RS03475	WA5_RS03480 // WA5_RS03475
WA5_RS01090	WA5_RS01090	226309	226767	molybdenum cofactor biosynthesis protein MoaE	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085
WA5_RS02300	WA5_RS02300	475486	477048	aldehyde dehydrogenase (NADP(+))	WA5_RS02305 // WA5_RS02300	WA5_RS02305 // WA5_RS02300
WA5_RS16140	WA5_RS16140	1800445	1800585	hypothetical protein	WA5_RS16140	WA5_RS16140
WA5_RS14730	WA5_RS14730	3143493	3144482	LLM class flavin-dependent oxidoreductase	WA5_RS16335 // WA5_RS14730	WA5_RS16335 // WA5_RS14730
WA5_RS16115	WA5_RS16115	345811	345975	hypothetical protein	WA5_RS16115	WA5_RS16115
WA5_RS13605	WA5_RS13605	2890927	2892138	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS09705	WA5_RS09705	2057116	2057787	membrane protein	WA5_RS09705	WA5_RS09705
WA5_RS08955	WA5_RS08955	1907961	1908659	hypothetical protein	WA5_RS08955	WA5_RS08955
WA5_RS06320	WA5_RS06320	1338130	1340010	acetolactate synthase large subunit	ilvC // ilvN // WA5_RS06320	ilvC // ilvN // WA5_RS06320
WA5_RS11835	WA5_RS11835	2518395	2519972	ABC transporter substrate-binding protein	WA5_RS11835	WA5_RS11835
WA5_RS10300	WA5_RS10300	2187688	2188305	cation transporter	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295
WA5_RS08660	WA5_RS08660	1830764	1832065	hypothetical protein	WA5_RS08660	WA5_RS08660
WA5_RS02305	WA5_RS02305	477045	477995	5-dehydro-4-deoxyglucarate dehydratase	WA5_RS02305 // WA5_RS02300	WA5_RS02305 // WA5_RS02300
WA5_RS04915	WA5_RS04915	1042026	1042844	Bax inhibitor-1/YccA family protein	WA5_RS04915	WA5_RS04915
WA5_RS02315	WA5_RS02315	478986	479303	DUF3349 domain-containing protein	WA5_RS02315 // WA5_RS02310	WA5_RS02315 // WA5_RS02310
WA5_RS11840	WA5_RS11840	2520209	2521663	Hsp70 family protein	WA5_RS11840	WA5_RS11840
WA5_RS03480	WA5_RS03480	716683	718008	XRE family transcriptional regulator	WA5_RS03480 // WA5_RS03475	WA5_RS03480 // WA5_RS03475
WA5_RS13615	WA5_RS13615	2893097	2895082	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
ilvN	WA5_RS06325	1340024	1340542	acetolactate synthase small subunit	ilvC // ilvN // WA5_RS06320	ilvC // ilvN // WA5_RS06320
WA5_RS11845	WA5_RS11845	2521664	2522251	TIGR00730 family Rossman fold protein	WA5_RS11850 // WA5_RS11845	WA5_RS11850 // WA5_RS11845
WA5_RS07965	WA5_RS07965	1691635	1692270	riboflavin synthase	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955
WA5_RS00450	WA5_RS00450	88542	89444	triacylglycerol lipase	WA5_RS00450 // WA5_RS00445	WA5_RS00450 // WA5_RS00445
WA5_RS04870	WA5_RS04870	1036315	1036857	septum formation initiator family protein	WA5_RS04880 // WA5_RS04875 // WA5_RS04870	WA5_RS04880 // WA5_RS04875 // WA5_RS04870
WA5_RS02310	WA5_RS02310	478089	478973	LysR family transcriptional regulator	WA5_RS02315 // WA5_RS02310	WA5_RS02315 // WA5_RS02310
WA5_RS11850	WA5_RS11850	2522262	2523248	malate dehydrogenase	WA5_RS11850 // WA5_RS11845	WA5_RS11850 // WA5_RS11845
WA5_RS01095	WA5_RS01095	226757	227218	MogA/MoaB family molybdenum cofactor biosynthesis protein	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085
WA5_RS03485	WA5_RS03485	718170	718352	hypothetical protein	WA5_RS03485	WA5_RS03485
WA5_RS14740	WA5_RS14740	3144661	3145629	RluA family pseudouridine synthase	WA5_RS14740	WA5_RS14740
WA5_RS06440	WA5_RS06440	1363138	1363611	DUF2975 domain-containing protein	WA5_RS06440 // WA5_RS06435	WA5_RS06440 // WA5_RS06435
WA5_RS13625	WA5_RS13625	2897525	2900326	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
ilvC	WA5_RS06330	1340723	1341739	ketol-acid reductoisomerase	ilvC // ilvN // WA5_RS06320	ilvC // ilvN // WA5_RS06320
WA5_RS04875	WA5_RS04875	1036893	1037447	DUF501 domain-containing protein	WA5_RS04880 // WA5_RS04875 // WA5_RS04870	WA5_RS04880 // WA5_RS04875 // WA5_RS04870
WA5_RS11855	WA5_RS11855	2523561	2524340	TetR family transcriptional regulator	WA5_RS11855	WA5_RS11855
WA5_RS13675	WA5_RS13675	2915929	2916204	hypothetical protein	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655
WA5_RS04880	WA5_RS04880	1037447	1038412	Ppx/GppA family phosphatase	WA5_RS04880 // WA5_RS04875 // WA5_RS04870	WA5_RS04880 // WA5_RS04875 // WA5_RS04870
WA5_RS02320	WA5_RS02320	479449	480201	amidohydrolase family protein	WA5_RS02330 // WA5_RS02325 // WA5_RS02320	WA5_RS02330 // WA5_RS02325 // WA5_RS02320
WA5_RS11860	WA5_RS11860	2524337	2524915	transcriptional regulator	WA5_RS11860	WA5_RS11860
WA5_RS14765	WA5_RS14765	3151839	3152204	GntR family transcriptional regulator	WA5_RS14765	WA5_RS14765
WA5_RS03490	WA5_RS03490	718576	720351	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha	WA5_RS03490	WA5_RS03490
WA5_RS13635	WA5_RS13635	2903961	2906642	VWA domain-containing protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS09280	WA5_RS09280	1975170	1975796	single-stranded DNA-binding protein	WA5_RS09280	WA5_RS09280
WA5_RS04890	WA5_RS04890	1038717	1039649	threonine/serine dehydratase	WA5_RS04890	WA5_RS04890
WA5_RS11865	WA5_RS11865	2525099	2526229	aromatic ring-hydroxylating dioxygenase subunit alpha	WA5_RS11875 // WA5_RS11870 // WA5_RS11865	WA5_RS11875 // WA5_RS11870 // WA5_RS11865
ribD	WA5_RS07970	1692271	1693257	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955
WA5_RS13640	WA5_RS13640	2906636	2907250	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS00455	WA5_RS00455	89615	90448	hypothetical protein	WA5_RS00455	WA5_RS00455
WA5_RS04895	WA5_RS04895	1039782	1039979	hypothetical protein	WA5_RS04900 // WA5_RS04895	WA5_RS04900 // WA5_RS04895
WA5_RS11870	WA5_RS11870	2526233	2527210	oxidoreductase	WA5_RS11875 // WA5_RS11870 // WA5_RS11865	WA5_RS11875 // WA5_RS11870 // WA5_RS11865
WA5_RS03495	WA5_RS03495	720543	721448	sulfurtransferase	WA5_RS03495	WA5_RS03495
moaC	WA5_RS01100	227215	227685	cyclic pyranopterin monophosphate synthase MoaC	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085
WA5_RS08495	WA5_RS08495	1800872	1801309	hypothetical protein	WA5_RS08495	WA5_RS08495
WA5_RS14770	WA5_RS14770	3152413	3153831	NYN domain-containing protein	WA5_RS14770	WA5_RS14770
WA5_RS01725	WA5_RS01725	346958	348019	NAD(P)-dependent alcohol dehydrogenase	WA5_RS01725	WA5_RS01725
WA5_RS10550	WA5_RS10550	2241735	2242115	RNA-binding S4 domain-containing protein	WA5_RS10555 // WA5_RS10550	WA5_RS10555 // WA5_RS10550
WA5_RS13645	WA5_RS13645	2907515	2908888	dipeptidase	WA5_RS13645	WA5_RS13645
WA5_RS15695	WA5_RS15695	1341956	1342726	ABC transporter ATP-binding protein	WA5_RS15695	WA5_RS15695
WA5_RS04900	WA5_RS04900	1039995	1040327	RibD family protein	WA5_RS04900 // WA5_RS04895	WA5_RS04900 // WA5_RS04895
WA5_RS11875	WA5_RS11875	2527222	2528562	aromatic acid/H+ symport family MFS transporter	WA5_RS11875 // WA5_RS11870 // WA5_RS11865	WA5_RS11875 // WA5_RS11870 // WA5_RS11865
WA5_RS10310	WA5_RS10310	2189162	2189905	ribonuclease III	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295	WA5_RS10315 // WA5_RS10310 // mutM // WA5_RS10300 // WA5_RS10295
WA5_RS13755	WA5_RS13755	2929867	2931339	hypothetical protein	WA5_RS13765 // WA5_RS13760 // WA5_RS13755	WA5_RS13765 // WA5_RS13760 // WA5_RS13755
WA5_RS08840	WA5_RS08840	1871097	1871330	hypothetical protein	WA5_RS08840	WA5_RS08840
WA5_RS13650	WA5_RS13650	2909231	2909791	hypothetical protein	WA5_RS13650	WA5_RS13650
WA5_RS04905	WA5_RS04905	1040493	1040684	PspC domain-containing protein	WA5_RS04905	WA5_RS04905
WA5_RS02325	WA5_RS02325	480205	480624	thioesterase family protein	WA5_RS02330 // WA5_RS02325 // WA5_RS02320	WA5_RS02330 // WA5_RS02325 // WA5_RS02320
WA5_RS11880	WA5_RS11880	2528548	2529480	AEC family transporter	clpX // WA5_RS11880	clpX // WA5_RS11880
WA5_RS14775	WA5_RS14775	3153891	3154766	PspA/IM30 family protein	WA5_RS14775	WA5_RS14775
WA5_RS03500	WA5_RS03500	721776	722843	Cj0069 family protein	WA5_RS03500	WA5_RS03500
WA5_RS13655	WA5_RS13655	2910172	2913231	Na+/H+ antiporter subunit A	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655
WA5_RS06345	WA5_RS06345	1342790	1343674	ABC transporter substrate-binding protein	WA5_RS06345	WA5_RS06345
WA5_RS04910	WA5_RS04910	1040924	1041919	helix-turn-helix transcriptional regulator	WA5_RS04910	WA5_RS04910
clpX	WA5_RS11885	2529481	2530761	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX // WA5_RS11880	clpX // WA5_RS11880
rpe	WA5_RS07975	1693258	1693917	ribulose-phosphate 3-epimerase	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955	rpe // ribD // WA5_RS07965 // WA5_RS07960 // WA5_RS07955
WA5_RS00460	WA5_RS00460	90458	90973	winged helix-turn-helix transcriptional regulator	WA5_RS00460	WA5_RS00460
WA5_RS13660	WA5_RS13660	2913235	2913726	Na(+)/H(+) antiporter subunit C	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655	WA5_RS13680 // WA5_RS13675 // WA5_RS13670 // WA5_RS13665 // WA5_RS13660 // WA5_RS13655
WA5_RS04930	WA5_RS04930	1044473	1044958	DUF4307 domain-containing protein	WA5_RS04930	WA5_RS04930
WA5_RS02330	WA5_RS02330	480621	481001	hypothetical protein	WA5_RS02330 // WA5_RS02325 // WA5_RS02320	WA5_RS02330 // WA5_RS02325 // WA5_RS02320
WA5_RS01105	WA5_RS01105	227700	228884	molybdopterin molybdotransferase MoeA	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085	modA // WA5_RS01110 // WA5_RS01105 // moaC // WA5_RS01095 // WA5_RS01090 // WA5_RS01085
WA5_RS14785	WA5_RS14785	3155243	3156250	DDE-type integrase/transposase/recombinase	WA5_RS14785	WA5_RS14785
WA5_RS03505	WA5_RS03505	722921	723337	DUF3151 domain-containing protein	WA5_RS03505	WA5_RS03505
WA5_RS09720	WA5_RS09720	2060619	2061506	glutamate ABC transporter substrate-binding protein	WA5_RS09720	WA5_RS09720
